Product_Weight,Product_Allocated_Area,Product_MRP,Store_Age,Product_Sugar_Content,Store_Id,Store_Size,Store_Location_City_Type,Store_Type,Product_Category,Product_Id
16.45,0.074,119.11,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC342
10.01,0.055,125.72,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD5230
11.56,0.055,153.11,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4768
9.86,0.01,152.54,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD5808
11.9,0.136,184.5,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD7020
15.1,0.142,211.63,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC4471
9.51,0.079,94.15,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC1898
14.73,0.027,148.35,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2185
11.44,0.038,99.71,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD7499
10.9,0.061,150.45,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD770
9.45,0.033,118.24,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC4019
14.24,0.063,159.5,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD4553
11.9,0.067,118.8,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3502
8.32,0.084,116.5,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD4778
16.4,0.038,166.56,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR8071
13.02,0.102,168.86,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD7391
9.65,0.027,94.67,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD6659
10.62,0.054,131.01,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4071
13.45,0.032,126.96,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1500
13.09,0.011,140.59,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD6885
12.78,0.035,89.61,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD5577
12.6,0.031,203.64,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD2545
13.67,0.028,141.51,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1334
13.19,0.048,145.62,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD8274
9.88,0.032,142.22,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1357
14.33,0.076,180.41,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD1163
13.09,0.062,132.24,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR8485
15.26,0.031,170.72,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD4336
14.8,0.154,161.76,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC1971
13.53,0.057,128.73,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD7202
12.31,0.125,190.94,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD8194
11.03,0.07,84.04,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD2260
15.71,0.064,162.65,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD905
16.86,0.061,217.5,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD2596
17.84,0.037,148.23,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR4889
14.7,0.03,175.92,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD6717
14.02,0.02,176.65,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC6625
9.66,0.062,178.03,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC4161
14.14,0.02,147.81,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4463
13.75,0.023,161.12,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3677
9.79,0.043,99.46,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC2129
15.87,0.093,185.03,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD1255
14.71,0.034,140.78,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR4578
13.22,0.292,195.82,38,No Sugar,OUT001,High,Tier 2,Supermarket Type1,Non-Consumable,NC1160
15.93,0.102,202.92,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD2792
11.42,0.031,116.53,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC7960
12.94,0.075,109.45,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD815
11.42,0.036,131.28,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC6490
11.5,0.168,128.0,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD6271
14.95,0.041,185.28,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD2225
8.8,0.024,127.36,27,Regular,OUT002,Small,Tier 3,Food Mart,Packaged,FD2652
12.26,0.159,124.22,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC4006
14.9,0.083,152.82,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR3521
16.13,0.069,157.36,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD7496
11.32,0.072,123.07,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2431
14.68,0.063,115.49,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD7198
15.04,0.024,196.19,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD5099
14.67,0.072,150.17,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD999
11.6,0.028,190.11,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD832
9.47,0.065,177.81,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC6290
10.86,0.058,161.79,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1729
11.47,0.052,194.64,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD6732
12.47,0.035,147.92,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR3434
10.2,0.055,117.14,27,Regular,OUT002,Small,Tier 3,Food Mart,Fresh,FD4531
12.11,0.091,170.34,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD806
9.64,0.03,141.23,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC171
11.83,0.12,124.6,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD7009
12.25,0.01,198.7,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC4711
16.38,0.029,160.63,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD6477
15.62,0.102,200.97,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD1029
11.49,0.081,160.35,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2028
8.4,0.036,90.7,27,Regular,OUT002,Small,Tier 3,Food Mart,Fresh,FD7896
13.0,0.027,161.88,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC2866
9.14,0.082,131.77,38,No Sugar,OUT001,High,Tier 2,Supermarket Type1,Non-Consumable,NC6238
12.32,0.079,128.42,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC1783
12.81,0.031,168.24,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD1526
14.73,0.023,113.04,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD6297
12.16,0.21,173.09,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC4385
12.21,0.108,173.81,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1369
13.15,0.056,134.82,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3940
6.85,0.098,112.86,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD5128
14.26,0.115,169.85,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Beverages,DR1976
7.63,0.077,128.77,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Beverages,DR3820
9.6,0.06,124.9,38,No Sugar,OUT001,High,Tier 2,Supermarket Type1,Non-Consumable,NC8535
13.76,0.064,189.07,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD7377
11.46,0.033,111.72,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD5259
13.06,0.074,160.34,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4203
17.37,0.033,173.52,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Beverages,DR4668
7.11,0.065,96.54,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD1948
11.7,0.185,124.5,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2708
13.15,0.053,116.92,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2045
14.79,0.036,146.22,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2927
10.69,0.176,116.37,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD2865
14.73,0.021,172.75,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD3423
12.9,0.036,97.93,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD8209
9.98,0.057,103.51,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD719
7.16,0.025,118.89,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Beverages,DR7861
18.98,0.021,203.09,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD3681
15.55,0.025,163.35,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD2711
17.16,0.036,167.49,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD4594
11.99,0.075,161.14,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD5850
10.88,0.058,105.11,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD6683
15.57,0.128,161.96,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD1545
11.45,0.034,133.9,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD2299
14.74,0.083,167.42,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Beverages,DR4400
18.01,0.012,229.54,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC2868
14.26,0.026,181.37,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD1670
10.31,0.036,118.2,38,No Sugar,OUT001,High,Tier 2,Supermarket Type1,Non-Consumable,NC7278
11.29,0.096,144.37,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD7575
12.32,0.031,117.31,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3809
8.95,0.016,108.2,27,Regular,OUT002,Small,Tier 3,Food Mart,Packaged,FD1917
13.36,0.12,106.07,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR8291
15.27,0.069,195.27,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD5174
10.92,0.035,178.53,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC1459
14.93,0.165,185.32,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD2695
14.13,0.15,210.3,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD8458
9.54,0.077,89.16,27,Regular,OUT002,Small,Tier 3,Food Mart,Packaged,FD8241
13.17,0.076,151.4,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD7534
12.84,0.052,177.88,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD5626
12.05,0.046,124.5,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC6145
17.42,0.027,143.85,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD450
9.61,0.074,129.04,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD1683
10.3,0.082,97.08,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD5663
14.34,0.03,147.15,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD8169
12.59,0.058,126.91,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD5312
13.93,0.082,182.74,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD2140
12.73,0.099,125.94,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD7080
13.33,0.053,103.88,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR4188
14.58,0.116,121.32,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD7550
14.06,0.142,144.51,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC584
16.5,0.054,152.48,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD5180
17.45,0.036,156.65,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD1519
12.26,0.085,138.07,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3622
14.28,0.055,200.43,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD4693
13.58,0.051,90.16,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC6308
15.89,0.171,168.67,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR5831
10.97,0.023,146.95,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4903
11.48,0.121,135.07,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD6345
14.09,0.036,207.15,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC3150
11.76,0.068,164.98,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR3676
12.88,0.123,158.39,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2880
15.2,0.013,164.09,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD5350
9.65,0.066,82.08,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD4393
11.46,0.021,132.35,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC8461
12.62,0.107,194.64,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC45
13.84,0.039,174.45,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD2051
12.94,0.08,167.52,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD336
16.33,0.052,196.68,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD1259
12.99,0.043,125.58,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD6597
11.59,0.015,136.89,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD5506
14.82,0.072,178.16,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD5063
8.25,0.01,151.69,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD6998
14.04,0.058,120.97,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD5405
14.47,0.155,140.23,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD2052
7.27,0.011,104.5,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD2781
11.45,0.014,119.93,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC2006
14.14,0.064,119.88,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC5183
14.25,0.009,194.45,38,No Sugar,OUT001,High,Tier 2,Supermarket Type1,Non-Consumable,NC7628
13.68,0.055,172.37,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD8354
11.64,0.029,182.5,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD198
10.29,0.113,166.58,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1350
13.14,0.034,97.35,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4399
12.58,0.093,159.98,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD3639
12.97,0.091,165.31,26,No Sugar,OUT003,Medium,Tier 1,Departmental Store,Non-Consumable,NC36
12.8,0.022,145.28,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4828
15.81,0.088,130.95,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4538
13.57,0.044,121.38,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD5890
10.93,0.022,202.82,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD3657
14.93,0.085,174.03,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD6421
12.14,0.079,144.92,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD1013
7.91,0.119,122.78,27,No Sugar,OUT002,Small,Tier 3,Food Mart,Non-Consumable,NC7184
14.32,0.03,194.4,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD8658
14.58,0.04,152.5,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD5909
12.17,0.045,156.69,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC4324
14.19,0.155,118.28,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC1243
12.52,0.011,126.79,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD259
11.96,0.088,156.95,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3557
16.59,0.021,221.88,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD1283
14.48,0.128,171.58,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD4661
14.93,0.083,189.03,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR4824
13.05,0.015,145.06,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD1447
12.75,0.086,139.62,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC7923
12.02,0.032,132.36,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR4993
12.64,0.099,96.05,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD6127
12.14,0.09,95.05,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD7866
10.3,0.089,118.94,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD3107
12.83,0.017,117.53,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR8446
10.52,0.044,87.07,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD2578
10.87,0.007,143.98,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC8757
16.42,0.052,159.07,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD1189
14.79,0.113,181.26,38,No Sugar,OUT001,High,Tier 2,Supermarket Type1,Non-Consumable,NC1610
10.57,0.053,119.58,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD3311
10.51,0.048,76.35,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD3022
15.51,0.073,170.86,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR1356
11.43,0.138,143.95,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD2121
11.47,0.089,102.13,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD561
12.32,0.024,128.51,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD179
11.38,0.026,145.27,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD643
12.53,0.128,134.26,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4441
12.27,0.061,134.88,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3437
12.13,0.067,171.71,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC5258
19.55,0.047,176.27,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD1348
13.54,0.103,99.24,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD6553
8.18,0.073,106.54,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD2159
14.41,0.035,131.41,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4371
11.88,0.039,91.12,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD699
14.79,0.065,176.73,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR515
11.35,0.027,119.64,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD46
13.91,0.103,151.64,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR8083
14.25,0.031,182.95,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD1000
12.25,0.025,153.72,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD7326
11.05,0.076,164.46,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD3448
13.47,0.151,120.15,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD4397
10.4,0.026,131.82,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4817
15.43,0.094,160.66,26,Regular,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD5879
14.91,0.037,182.95,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Packaged,FD1554
12.89,0.047,151.99,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Beverages,DR8235
11.01,0.007,150.01,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC5752
13.02,0.12,158.7,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD5816
9.02,0.108,106.93,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD1332
18.94,0.128,194.74,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Beverages,DR977
12.15,0.007,169.98,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC1090
12.49,0.292,131.49,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD7944
16.26,0.025,188.82,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Packaged,FD5734
8.93,0.031,126.48,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Packaged,FD5438
10.82,0.064,148.05,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Fresh,FD2683
12.13,0.034,100.6,38,Regular,OUT001,High,Tier 2,Supermarket Type1,Beverages,DR6690
14.91,0.125,139.87,16,Regular,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD4089
15.39,0.09,154.27,26,Low Sugar,OUT003,Medium,Tier 1,Departmental Store,Fresh,FD4404
12.04,0.013,101.35,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD6128
10.48,0.073,92.63,27,Low Sugar,OUT002,Small,Tier 3,Food Mart,Fresh,FD5333
11.73,0.144,164.52,16,Low Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Packaged,FD6651
11.24,0.071,116.91,16,No Sugar,OUT004,Medium,Tier 2,Supermarket Type2,Non-Consumable,NC7971
10.21,0.096,121.78,38,Low Sugar,OUT001,High,Tier 2,Supermarket Type1,Fresh,FD3588
